Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date
Tian En,9774587,Arc 4,China,COSCO,General cargo,37125,26787,190,China,Changshu,2019-07-19,Sweden,Gavle,2019-08-17
Svyatoy Petr,9035838,Arc 4,Russia,Valkur,Tanker,10960,6441,127.2,Russia,Petropavlovsk-Kamchatskiy,2019-07-23,Russia,Arkhangelsk,2019-08-10
Professor Multanovskiy,8010362,Arc 5,Russia,FERHRI,Research,620,1753,72,Russia,Vladivostok,2019-07-26,Russia,Murmansk,2019-09-07
Da Tai,9608386,Ice 1,Hong Kong,COSCO,General cargo,29881,22566,179.5,China,Taicang,2019-07-31,Denmark,Skagen,2019-08-24
Simfoniya,8516627,Arc 4,Russia,Transrefflot,Reefer,3750,4298,103,Russia,Ossora,2019-08-06,Russia,Arkhangelsk,2019-08-19
Garmoniya,8516639,Arc 4,Russia,Yuzhmorrybflot,Reefer,3642,4295,103,Russia,Ossora,2019-08-08,Russia,Arkhangelsk,2019-08-21
Nordic Svalbard,9437323,Arc 4,Liberia,Nordic Svalbard,General cargo,16543,15549,133,South Korea,Busan,2019-08-09,Germany,Cuxhaven,2019-09-01
Atlanticborg,9466350,Arc 4,Netherlands,Atlanticborg Shipping Company,General cargo,17294,11885,143,Netherlands,Vlissingen,2019-08-19,Japan,Kinuura,2019-09-13
Sparta 3,9538892,Arc 4,Russia,OBL-Shipping,General cargo,9490,12679,142.5,South Korea,Busan,2019-08-20,Russia,Murmansk,2019-09-09
Tian Xi,9704764,Ice 1,Liberia,COSCO,General cargo,28098,26600,190,Denmark,Skagen,2019-08-22,China,Qingdao,2019-09-16
Simfoniya,8516627,Arc 4,Russia,Transrefflot,Reefer,3750,4298,103,Russia,Arkhangelsk,2019-08-23,Russia,Ossora,2019-09-14
Korolev Prospect,9826902,Ice 3,Liberia,Kismet Ventures,Tanker,113232,64909,250,Russia,Murmansk,2019-08-23,China,Qingdao,2019-09-14
