Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date,Cargo Approx tn,Cargo type
Olimpiyskiy Prospect,9511387,Ice 3,Liberia,Erdington Navigation,Tanker,113905,62504,250,Russia,Primorsk,2023-08-15,China,Tianjin,2023-09-19,99846.6,crude oil
Pugnax,9763849,Arc 7,Liberia,Fortune MC Titan Shipping,Heavy Load,28816,34146,206,South Korea,Busan,2023-08-26,Russia,Murmansk,2023-09-19,8048.23,general cargo
Olafsson,7704708,Ice 1,Russia,OOO Antey,Fishing,1552,1592,71,Russia,Barents Sea,2023-09-02,Russia,Zarubino,2023-09-21,149.43,fish
Arctic,9122978,No Ice Class,Russia,OOO Antey,Fishing,3605,3630,84,Russia,Barents Sea,2023-08-29,Russia,Zarubino,2023-09-21,177.734,fish
Tang Land,9233595,No Ice Class,Panama,Tangland Maritime,Bulk,75928,39126,225,South Korea,Boryeong,2023-08-27,Russia,Murmansk,2023-09-22,0,ballast
Moskovsky Prospect,9511521,Ice 3,Liberia,Sumerton Shipholding,Tanker,113867,62504,250,Russia,Murmansk,2023-09-01,China,Shenzhen,2023-09-27,100000,crude oil
NS Bravo,9412359,No Ice Class,Liberia,NS Bravo Shipping,Tanker,156694,83747,274,Russia,Murmansk,2023-09-04,China,Rizhao,2023-09-28,140304,crude oil
King Lan,9216406,No Ice Class,Panama,Kinglan Marine,Bulk,73931,39893,225,China,Zhuhai,2023-08-28,Russia,Murmansk,2023-09-30,0,ballast
Hong Run,9180803,No Ice Class,Panama,Hongrun (HongKong) Shipping,Bulk,73705,38364,225,China,Yuhuan,2023-08-21,Russia,Murmansk,2023-09-30,0,ballast
Alsey,8602866,No Ice Class,Russia,Antey,Fishing,991,2158,66,Russia,Barents Sea,2023-09-08,Russia,Zarubino,2023-10-02,105.653,fish
Vernadsky Prospect,9843560,Ice 3,Liberia,Irma Corporation,Tanker,113310,64909,250,Russia,Primorsk,2023-09-03,China,Rizhao,2023-10-03,99999,crude oil
Jupiter,7712937,Ice 1,Russia,Antey,Fishing,1251,1201,68,Russia,Barents Sea,2023-09-10,Russia,Zarubino,2023-10-03,95.315,fish
SCF Baltica,9305568,Arc 5,Liberia,Ashbourne Navigation,Tanker,117153,65293,250,China,Tianjin,2023-09-01,Russia,Murmansk,2023-10-03,0,ballast
NS Arctic,9413547,Ice 3,Liberia,Ns Arctic Shipping,Tanker,111107,62433,250,China,Rizhao,2023-08-31,Russia,Primorsk,2023-10-04,0,ballast
Atlantic,9104017,Ice 1,Russia,OOO Antey,Fishing,3750,3431,82,Russia,Barents Sea,2023-09-16,Russia,Zarubino,2023-10-05,220.222,fish
Newnew Polar Bear,9313204,Arc 5,Hong Kong,HAINANXIN XIN YANG,Container,15952,16324,169,Russia,Petropavlovsk-Kamchatskiy,2023-09-14,Russia,Kaliningrad,2023-10-06,7527.9,containers
Leonid Loza,9412347,No Ice Class,Liberia,NS Breeze,Tanker,156630,83747,274,Russia,Murmansk,2023-09-11,China,Ningbo,2023-10-06,140000,crude oil
Neptun,9393412,Ice 1,Russia,Gazprom Flot,Supply,2828,2807,74,Russia,Murmansk,2023-09-05,Russia,Nakhodka,2023-10-06,0,ballast
Ruslana,9352339,Arc 4,Russia,Transflot,General cargo,7750,5057,120,China,Shanghai,2023-09-05,Russia,Murmansk,2023-10-07,2445.22,general cargo
Nan Feng Zhi Xing,9934498,Ice 1,Panama,Guangdong Nanfeng,Heavy Load,25119,18116,160,Russia,Murmansk,2023-08-01,China,Zhoushan,2023-10-10,10494,general cargo
Primorsky Prospect,9511533,Ice 3,Liberia,Shardlow Maritime,Tanker,113860,52504,250,Russia,Nakhodka,2023-09-07,Russia,Ust-Luga,2023-10-10,0,ballast
Crown Garnet,9128049,Ice 2,Bahamas,Gamas Shipholding,Reefer,10332,10519,152,Russia,Petropavlovsk-Kamchatskiy,2023-09-25,Russia,"St, Petersburg",2023-10-12,7723.55,fish
Ossoy,9701102,No Ice Class,Liberia,Crown Libra 3 Limited,Supply,2881,2721,72,Russia,Murmansk,2023-09-22,Russia,Korsakov,2023-10-13,0,ballast
Bering (2),9104029,Ice 1,Russia,Antey,Fishing,3912,3440,82,Russia,Barents Sea,2023-09-21,Russia,Zarubino,2023-10-13,222.222,fish
Kazanin Explorer,9272436,Ice 1,Russia,Sevnor Management,Supply,3120,3905,88,Russia,Murmansk,2023-08-31,Russia,Nakhodka,2023-10-15,0,ballast
Pugnax,9763849,Arc 7,Liberia,Fortune MC Titan Shipping,Heavy Load,28816,34146,206,Russia,Murmansk,2023-09-22,South Korea,Busan,2023-10-16,0,ballast
