Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date
UHL Faith,9892482,Arc 4,Portugal,Fortune Aquila Shipping,General cargo,17116,16732,149.95,Norway,Grimstad,2021-09-03,South Korea,Geoje,2021-09-25
Da Ji,9768538,Ice 1,China,COSCO,General cargo,28612,21992,179.67,China,Taicang,2021-09-03,Norway,Porsgrunn,2021-10-01
Dolfijngracht,9420825,Arc 4,Netherlands,BigLift Shipping,General cargo,17967,13706,156.89,South Korea,Busan,2021-09-05,Sweden,Umea,2021-10-03
Tian Lu,9704740,Ice 1,Hong Kong,COSCO,General cargo,26600,38122,190,Finland,Jakobstad,2021-09-06,China,Qingdao,2021-10-09
Roland Oldendorff,9463633,No Ice Class,Liberia,Oldendorff Carriers,Bulk,121332,65976,260.37,Russia,Ust-Luga,2021-09-06,South Korea,Pohang,2021-10-17
Richard Oldendorff,9462366,No Ice Class,Liberia,Oldendorff Carriers,Bulk,121332,65976,260.41,Russia,Murmansk,2021-09-07,China,Huanghua,2021-10-02
Golden Furious,9860128,Ice 2,Marshall Islands,Furious Shipowning,Bulk,81600,44094,229,China,Tianjin,2021-09-07,Russia,Murmansk,2021-10-05
UHL Fusion,9785380,Arc 4,Portugal,Elmar Shipping,General cargo,17147,16732,150,China,Taicang,2021-09-08,Sweden,Umea,2021-10-07
Chukotka+,7927960,Arc 4,Russia,Chukotka Trading Company,Tanker,11548,8806,140.8,Russia,Arkhangelsk,2021-09-09,Russia,Egvekinot,2021-10-14
Tian Hui,9774599,Arc 4,China,COSCO,General cargo,37130,26787,200,Finland,Kotka,2021-09-09,China,Qingdao,2021-10-18
Gertrude Oldendorff,9727601,Ice 2,Portugal,Oldendorff Carriers,Bulk,80959,44218,229,Canada,Vancouver,2021-09-10,Finland,Raahe,2021-10-12
Tian Shou,9704752,Ice 1,China,COSCO,General cargo,38134,26600,190,China,Dafeng,2021-09-11,Poland,Gdynia,2021-10-12
Taagborg,9546461,Arc 4,Netherlands,Wagenborg Shipping,General cargo,21338,14695,173,China,Lianyungang,2021-09-11,Canada,La Baie,2021-10-24
Da Tong Yun,9451343,Ice 2,Hong Kong,COSCO,General cargo,28377,20454,166.5,China,Shanghai,2021-09-11,Poland,Swinoujscie,2021-10-15
Blue Marlin,9186338,No Ice Class,Malta,Blue Marlin,Heavy Load,76292,51821,224.6,China,Ningbo,2021-09-11,Russia,Murmansk,2021-10-11
Americaborg,9365659,Arc 4,Netherlands,Wagenborg Shipping,General cargo,17356,11864,143,Canada,Matane,2021-09-14,South Korea,Ulsan,2021-10-18
Da Zhi,9608439,Ice 1,China,COSCO,General cargo,29496,21828,179.57,China,Qinhuangdao,2021-09-16,Sweden,Uddevalla,2021-10-15
UHL Frontier,9789685,Arc 4,Portugal,HAMMONIA Reederei,General cargo,14013,16729,150,China,Taicang,2021-09-17,Sweden,Umea,2021-10-18
Petr Gusenkov,9060819,Ice 2,Russia,Germes-Marine,Reefer,485,532,45.45,Russia,Murmansk,2021-09-18,Russia,Vladivostok,2021-10-29
UHL Falcon,9789697,Arc 4,Portugal,Essence Shipping,General cargo,14103,16729,150,Spain,Huelva,2021-09-18,China,Qingdao,2021-10-19
Golden Suek,9438614,Ice 2,Hong Kong,Suek AG,Bulk,74849,41586,225,China,Dalian,2021-09-18,Russia,Murmansk,2021-10-10
UHL Fierce,9892509,Arc 4,Portugal,Fortune Ephesians Shipping,General cargo,14040,16732,150,Denmark,Aalborg,2021-09-21,Taiwan,Taichung,2021-10-19
Sparta 3,9538892,Arc 4,Russia,Yug Shipping Company,General cargo,9490,12679,142.5,Russia,Murmansk,2021-09-21,Hong Kong,Hong Kong,2021-10-20
Azoresborg,9466051,Arc 4,Netherlands,Wagenborg Shipping,General cargo,17407,11864,143,China,Lianyungang,2021-09-22,Canada,Baie-Comeau,2021-10-26
Regina Oldendorff,9535242,No Ice Class,Liberia,Oldendorff Carriers,Bulk,118863,66019,260,Russia,Murmansk,2021-09-23,China,Dalian,2021-10-27
Aragonborg,9466312,Arc 4,Netherlands,Wagenborg Shipping,General cargo,17294,11885,143,China,Nantong,2021-09-23,Netherlands,Rotterdam,2021-10-23
Rik Oldendorff,9463657,No Ice Class,Liberia,Oldendorff Carriers,Bulk,118467,65976,260.37,Russia,Murmansk,2021-09-26,China,Rizhao,2021-10-23
Golden Pearl,9470375,Ice 2,Marshall Islands,Suek AG,Bulk,74300,41718,225,China,Lanshan,2021-09-26,Russia,Murmansk,2021-10-19
GPO Grace,9760421,Ice 2,Marshall Islands,Wilhelmsen Management (Norway) AS,Heavy Load,63581,49091,225,Russia,Murmansk,2021-09-27,South Korea,Busan,2021-10-26
Nikolay Evgenov,9750725,Arc 7,Bahamas,TC LNG Explorer,LNG Tanker,97000,128806,299,Japan,Sakai,2021-09-27,France,Brest,2021-10-17
