Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date
ALEKSANDRA,8924537,Ice 3,Russia,OOO PRIMRYBFLOT,Fishing,390,798,54,Russia,Petropavlovsk-Kamchatskiy,2022-09-02,Russia,Barents Sea,2022-09-20
ARKA-35,8717568,No Ice Class,Russia,OOO Antey,Fishing,375,777,55,Russia,Petropavlovsk-Kamchatskiy,2022-09-02,Russia,Barents Sea,2022-09-19
Mys Zhelaniya,9366110,Arc 4,Russia,Eco Shipping,General cargo,17300,11864,143,China,Tianjin,2022-09-08,Russia,Murmansk,2022-10-05
Arctic,9122978,No Ice Class,Russia,DOF MANAGEMENT AS,Supply,4170,3171,84,Russia,Barents Sea,2022-09-08,Russia,Zarubino,2022-10-11
ANATOLIY CHERNEEV,9910478,Ice 2,Russia,Kamchattransflot,General cargo,1486,2227,75,Russia,Belomorsk,2022-09-08,Russia,Petropavlovsk-Kamchatskiy,2022-10-08
MATRITSA,8810451,No Ice Class,Russia,OOO Antey,Fishing,448,746,57,Russia,Petropavlovsk-Kamchatskiy,2022-09-08,Russia,Barents Sea,2022-09-23
KAPITAN RUSANOV,9888950,No Ice Class,Russia,Kolhoz Murman,Fishing,1184,693,53,China,Dalian,2022-09-10,Russia,Murmansk,2022-10-11
Sapodilla,9418999,Arc 4,Liberia,Briese Schiffahrts GmbH & Co KG,General cargo,16523,15549,166,Russia,Vanino,2022-09-21,Russia,Murmansk,2022-10-10
OLAFSSON,7704708,Ice 1,Russia,OOO Antey,Fishing,1552,1592,71,Russia,Barents Sea,2022-09-22,Russia,Vladivostok,2022-10-09
ATLANTIC,9104017,Ice 1,Russia,OOO Antey,Fishing,3750,3431,82,Russia,Barents Sea,2022-09-24,Russia,Zarubino,2022-10-15
PACIFIC HUNTER,8519667,Ice 1,Russia,OOO Antey,Fishing,2118,2190,67,Russia,Barents Sea,2022-09-24,Russia,Zarubino,2022-10-17
Alsey,8602866,No Ice Class,Russia,Antey,Fishing,991,2158,66,Russia,Barents Sea,2022-09-26,Russia,Vladivostok,2022-10-20
Jupiter,7712937,Ice 1,Russia,Antey,Fishing,1251,1201,68,Russia,Barents Sea,2022-09-27,Russia,Zarubino,2022-10-21
Odin Express (Bering),9104029,Ice 2,Denmark,MAGE,Supply,4115,3147,83,Russia,Barents Sea,2022-09-29,Russia,Vladivostok,2022-10-17
KAPITAN VDOVICHENKO,9878321,Ice 3,Russia,OOO Mintay Perviy,Fishing,6746,9055,108,Russia,Murmansk,2022-10-01,Russia,Petropavlovsk-Kamchatskiy,2022-10-14
Sevmorput,8729810,Arc 5,Russia,Atomflot,Container,33240,38226,260,Russia,"St, Petersburg",2022-10-09,Russia,Nakhodka,2022-10-29
PANDAR,9000235,Ice 2,Russia,Morskoy Standart Co Ltd,Tanker,6810,5025,116,Russia,Petropavlovsk-Kamchatskiy,2022-10-09,Russia,Arkhangelsk,2022-11-02
ELLADORA,8822375,Ice 1,Russia,DEFA Fishing LLC,Fishing,1919,1523,60,Norway,Kirkenes,2022-10-21,Russia,Vladivostok,2022-11-22
VASILY DINKOV,9372547,Arc 6,Russia,SOVCOMFLOT,Tanker,72722,49597,257,Russia,Murmansk,2022-10-27,China,Rizhao,2022-11-23
Monchegorsk,9404015,Arc 7,Russia,Norilsk Nickel,Container,18486,16994,169,Russia,Nakhodka,2022-11-01,Russia,Murmansk,2022-11-24
Sevmorput,8729810,Arc 5,Russia,Atomflot,Container,33240,38226,260,Russia,Nakhodka,2022-11-10,Russia,"St, Petersburg",2022-12-15
